Language,Repository,Stars,Description,Time
Python,QwenLM/Qwen3-Coder,0,"Qwen3-Coder is the code version of Qwen3, the large language model series developed by Qwen team, Alibaba Cloud.",2025-07-26 10:34:05
Python,OpenBB-finance/OpenBB,0,"Investment Research for Everyone, Everywhere.",2025-07-26 10:34:05
Python,frappe/hrms,0,Open Source HR and Payroll Software,2025-07-26 10:34:05
Python,pytorch/vision,0,"Datasets, Transforms and Models specific to Computer Vision",2025-07-26 10:34:05
Python,QwenLM/Qwen3,0,"Qwen3 is the large language model series developed by Qwen team, Alibaba Cloud.",2025-07-26 10:34:05
Javascript,FortAwesome/Font-Awesome,0,"The iconic SVG, font, and CSS toolkit",2025-07-26 10:34:07
Javascript,HumanSignal/label-studio,0,Label Studio is a multi-type data labeling and annotation tool with standardized output format,2025-07-26 10:34:07
Javascript,louislam/uptime-kuma,0,A fancy self-hosted monitoring tool,2025-07-26 10:34:07
Javascript,sampotts/plyr,0,"A simple HTML5, YouTube and Vimeo player",2025-07-26 10:34:07
Javascript,f/awesome-chatgpt-prompts,0,This repo includes ChatGPT prompt curation to use ChatGPT and other LLM tools better.,2025-07-26 10:34:07
Java,SeleniumHQ/selenium,0,A browser automation framework and ecosystem.,2025-07-26 10:34:09
Java,spring-projects/spring-boot,0,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",2025-07-26 10:34:09
Java,kestra-io/kestra,0,"⚡ Workflow Automation Platform. Orchestrate & Schedule code in any language, run anywhere, 700+ plugins. Alternative to Airflow, n8n, Dagster, Prefect, Rundeck, VMware vRA, Zapier ...",2025-07-26 10:34:09
Java,nayuki/QR-Code-generator,0,"High-quality QR Code generator library in Java, TypeScript/JavaScript, Python, Rust, C++, C.",2025-07-26 10:34:09
Java,quarkusio/quarkus,0,Quarkus: Supersonic Subatomic Java.,2025-07-26 10:34:09
C,zephyrproject-rtos/zephyr,0,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",2025-07-26 10:34:11
C,arthenica/ffmpeg-kit,0,"FFmpeg Kit for applications. Supports Android, Flutter, iOS, Linux, macOS, React Native and tvOS. Supersedes MobileFFmpeg, flutter_ffmpeg and react-native-ffmpeg.",2025-07-26 10:34:11
C,confluentinc/librdkafka,0,The Apache Kafka C/C++ library,2025-07-26 10:34:11
C,lvgl/lvgl,0,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type.",2025-07-26 10:34:11
C,espressif/esp-idf,0,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,2025-07-26 10:34:11
C++,firebase/firebase-ios-sdk,0,Firebase SDK for Apple App Development,2025-07-26 10:34:13
C++,ClickHouse/ClickHouse,0,ClickHouse® is a real-time analytics database management system,2025-07-26 10:34:13
C++,ikawrakow/ik_llama.cpp,0,llama.cpp fork with additional SOTA quants and improved performance,2025-07-26 10:34:13
C++,protocolbuffers/protobuf,0,Protocol Buffers - Google's data interchange format,2025-07-26 10:34:13
C++,dmlc/xgboost,0,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library, for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Dask, Flink and DataFlow",2025-07-26 10:34:13
C#,zephyrproject-rtos/zephyr,0,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.",2025-07-26 10:34:18
C#,arthenica/ffmpeg-kit,0,"FFmpeg Kit for applications. Supports Android, Flutter, iOS, Linux, macOS, React Native and tvOS. Supersedes MobileFFmpeg, flutter_ffmpeg and react-native-ffmpeg.",2025-07-26 10:34:18
C#,confluentinc/librdkafka,0,The Apache Kafka C/C++ library,2025-07-26 10:34:18
C#,lvgl/lvgl,0,"Embedded graphics library to create beautiful UIs for any MCU, MPU and display type.",2025-07-26 10:34:18
C#,espressif/esp-idf,0,Espressif IoT Development Framework. Official development framework for Espressif SoCs.,2025-07-26 10:34:18
Go,m1k1o/neko,0,A self hosted virtual browser that runs in docker and uses WebRTC.,2025-07-26 10:34:20
